Departamento,Curso,Início,Fim,Modalidade,semestre
DTEC,Engenharia de Computação,26/08/2025,25/08/2026,Bolsista,2025.2
DTEC,Engenharia Civil,26/08/2025,25/08/2026,Bolsista,2025.2
DTEC,Engenharia da Computação,26/08/2025,25/08/2026,Bolsista,2025.2
DTEC,Agronomia,01/09/25,25/08/2026,Bolsista,2025.2
DTEC,Engenharia de Computação,26/08/2025,25/08/2026,Bolsista,2025.2
DTEC,Bacharelado em Engenharia Civil,26/08/2025,25/08/2026,Bolsista,2025.2
DTEC,Engenharia de Computação,26/08/2025,25/08/2026,Bolsista,2025.2
DTEC,Engenharia de Alimentação,26/08/2025,25/08/2026,Bolsista,2025.2
DTEC,Engenharia de Computação,26/08/2025,25/08/2026,Bolsista,2025.2
DTEC,Engenharia de Alimentos,26/08/2025,25/08/2026,Bolsista,2025.2
DTEC,Engenharia de Alimentos,26/08/2025,25/08/2026,Bolsista,2025.2
DTEC,Engenharia da Computação,08/09/2025,25/08/2026,Bolsista,2025.2
DTEC,Engenharia de Alimentos,26/08/2025,25/08/2026,Bolsista,2025.2
DTEC,Engenharia de Computação,10/09/2025,25/08/2026,Bolsista,2025.2
DEDU,Licenciatura em Pedagogia,26/08/2025,18/02/2026,Bolsista,2025.2
DEDU,Licenciatura em Pedagogia,26/08/2025,25/08/2026,Bolsista,2025.2
DEDU,Licenciatura em Educação Física,26/08/2025,24/02/2026,Bolsista,2025.2
DEDU,Licenciatura em Música,26/08/2025,25/08/2026,Bolsista,2025.2
DLA,Licenciatura em Música,26/08/2025,25/08/2026,Bolsista,2025.2
DLA,Engenharia civil,26/08/2025,25/08/2026,Bolsista,2025.2
DLA,"Bacharelado em 
Agronomia",26/08/2025,25/08/2026,Bolsista,2025.2
DLA,Lic. em Letras com Inglês,26/08/2025,25/08/2026,Bolsista,2025.2
DLA,Engenharia Civil,26/08/2025,25/08/2026,Bolsista,2025.2
DLA,Licenciatura em Ciências Biológicas,26/08/2025,25/08/2026,Bolsista,2025.2
DLA,Letras - Língua Portuguesa,26/08/2025,25/08/2026,Bolsista,2025.2
DLA,Bacharelado em Agronomia,26/08/2025,25/08/2026,Bolsista,2025.2
DLA,Licenciatura em Música,26/08/2025,25/08/2026,Bolsista,2025.2
DLA,Licenciatura em Matemática,26/08/2025,25/08/2026,Bolsista,2025.2
DLA,Licenciatura em Letras com Língua Portuguesa,01/09/25,25/08/2026,Bolsista,2025.2
DLA,Licenciatura em Letras com Língua Portuguesa,01/12/25,25/08/2026,Bolsista,2025.2
DCIS,Direito,26/08/2025,25/08/2026,Bolsista,2025.2
DCIS,Bacharelado em Direito,26/08/2025,25/08/2026,Bolsista,2025.2
DCIS,Direito,26/08/2025,25/08/2026,Bolsista,2025.2
DCIS,Direito,26/08/2025,25/08/2026,Bolsista,2025.2
DCIS,Ciências Econômicas,26/08/2025,25/08/2026,Bolsista,2025.2
DCIS,Direito,26/08/2025,25/08/2026,Bolsista,2025.2
DCIS,Bacharelado em Direito,26/08/2025,25/08/2026,Bolsista,2025.2
DCIS,Direito,26/08/2025,25/08/2026,Bolsista,2025.2
DCIS,Direito,10/09/25,25/08/2026,Bolsista,2025.2
DFIS,Licenciatura em Física,26/08/2025,25/08/2026,Bolsista,2025.2
DFIS,Agronomia,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Licenciatura em Geografia,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Bel em Filosofia,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Licenciatura em História,26/08/2025,09/02/2026,Bolsista,2025.2
DCHF,Licenciatura em História,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Licenciatura em História,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Licenciatura em Geografia,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Licenciatura em História,26/08/2025,08/04/2026,Bolsista,2025.2
DCHF,Psicologia,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Psicologia,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Licenciatura em Geografia,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Licenciatura em História,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Licenciatura em Letras Língua Portuguesa,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Licenciatura em Geografia,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Licenciatura e Bacharelado em Geografia,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Bacharelado em geografia,26/08/2025,26/08/2025,Bolsista,2025.2
DCHF,Licenciatura em História,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Psicologia,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Licenciatura em Filosofia,26/08/2025,25/08/2026,Bolsista,2025.2
DCHF,Bacharelado em geografia,26/08/2025,24/02/2026,Bolsista,2025.2
DCHF,Psicologia,10/09/25,25/08/2026,Bolsista,2025.2
DCHF,Bacharelado em Geografia,08/04/2026,25/08/2026,Bolsista,2026.1
DCBIO,Lic. Ciências Biológicas,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Lic. Ciências Biológicas,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Agronomia,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Farmácia,26/08/2024,05/02/2025,Bolsista,2024.2
DCBIO,Farmácia,22/04/2025,25/08/2025,Bolsista,2025.1
DCBIO,Farmácia,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Farmácia,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Odontologia,26/08/2024,31/01/2025,Bolsista,2024.2
DCBIO,Lic. Ciências Biológicas,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Agronomia,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Agronomia,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Enfermagem,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Licenciatura em Ciências Biológicas,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Licenciatura em Ciências Biológicas,26/08/2024,31/01/2025,Bolsista,2024.2
DCBIO,Bacharelado em Odontologia,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Licenciatura em Ciências Biológicas,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Licenciatura em Ciências Biológicas,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Farmácia,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Enfermagem,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Agronomia,26/08/2024,20/01/2025,Bolsista,2024.2
DCBIO,Agronomia,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Agronomia,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Bacharelado em Ciências Biológicas,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Agronomia,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Licenciatura em Ciências Biológicas,26/08/2024,25/08/2025,Bolsista,2024.2
DCBIO,Agronomia,05/09/2024,25/08/2025,Bolsista,2024.2
DCBIO,Licenciatura em Ciências Biológicas,02/09/2024,25/08/2025,Bolsista,2024.2
DCBIO,Agronomia,02/09/2024,31/03/2025,Bolsista,2024.2
DCBIO,Bacharelado em Odontologia,02/09/2024,25/08/2025,Bolsista,2024.2
DCBIO,Bacharelado em Ciências Biológicas,02/09/2024,25/08/2025,Bolsista,2024.2
DCBIO,Odontologia,02/09/2024,25/08/2025,Bolsista,2024.2
DCBIO,Licenciatura em Ciências Biológicas,02/09/2024,25/08/2025,Bolsista,2024.2
DCBIO,Odontologia,02/09/2024,04/08/2025,Bolsista,2024.2
DCBIO,Farmácia,02/09/2024,28/02/2025,Bolsista,2024.2
DCBIO,Odontologia,09/09/2024,25/08/2025,Bolsista,2024.2
DCBIO,Farmácia,11/03/2025,25/08/2025,Bolsista,2025.1
